# Transcription replacements
# Format: wrong term => correct term
# Modes:
# - default is mode=exact (case-sensitive source match)
# - use | mode=all for case-insensitive source match
# Replacement target is always inserted exactly as written.
#
# Examples below show common transcription cleanup patterns.
# Edit this file directly; changes are picked up automatically (no restart needed).

# Product / project names (case-insensitive source matching)
Global ASA => global_asr | mode=all
Agent Browser => agent-browser | mode=all

# File names often spoken with spaces or missing punctuation
skill md => SKILL.md | mode=all
skillmd => SKILL.md | mode=all
toolmd => TOOL.md | mode=all

# Exact mode example (case-sensitive source match)
config YAM => config.yaml

Rosi => Rocie | mode=all
Rossi => Rocie | mode=all
Rosy => Rocie | mode=all

JGPT => ChatGPT | mode=all
chat GPT => ChatGPT | mode=all
Chagypt => ChatGPT | mode=all

cloud code => Claude code | mode=all
CloudCode => Claude code | mode=all

codecs => codex | mode=all

klideck => Clideck | mode=all
Klidec => Clideck | mode=all
CLI deck => Clideck | mode=all
CLIDEC => Clideck | mode=all
CLIDEQ => Clideck | mode=all
CLI-DEC => Clideck | mode=all

LAMAS CPP => llama.cpp | mode=all
LAMA CPP => llama.cpp | mode=all
lama si pi pi => llama.cpp | mode=all


Cap Hub => caphub | mode=all
KabHub => caphub | mode=all
cab hub => caphub | mode=all
CAPAB => caphub | mode=all
Kappa => caphub | mode=all
CrabHub => caphub | mode=all
CAPA => caphub | mode=all
upup.io => caphub.io | mode=all
CapApp => caphub | mode=all
CarPub => caphub | mode=all
kaphab => caphub | mode=all
CapUp => caphub | mode=all
